,item_sku_id,item_first_cate_cd,item_second_cate_cd,item_third_cate_cd,price
1149,1001075086,1320,1585,1602,1026.0
2993,10028637939,1320,1585,1602,38.0
4166,1003677213,1320,1585,1602,49.0
6113,1005343211,1320,1585,1602,48.0
8390,10072774048,1320,1585,1602,261.0
9132,1007686354,1320,1585,1602,120.0
10193,10084433616,1320,1585,1602,58.8
12761,10102793070,1320,1585,1602,95.0
15224,10114019986,1320,1585,1602,158.0
16125,10119107684,1320,1585,1602,96.0
22141,10151591366,1320,1585,1602,8.9
22341,10153476946,1320,1585,1602,69.0
26801,10189243820,1320,1585,1602,38.0
29343,10207903578,1320,1585,1602,43.5
29662,10210507589,1320,1585,1602,139.0
30477,10216897361,1320,1585,1602,96.0
31239,10222992942,1320,1585,1602,17.0
31325,10223524296,1320,1585,1602,49.9
35327,1025516727,1320,1585,1602,236.0
36651,1026308727,1320,1585,1602,169.0
37700,1027258166,1320,1585,1602,30.0
41153,10310593848,1320,1585,1602,20.0
41991,1031630644,1320,1585,1602,19.0
43242,10326303105,1320,1585,1602,59.0
45811,1034789136,1320,1585,1602,21.8
45875,10348314028,1320,1585,1602,24.8
49445,10373247702,1320,1585,1602,44.5
49745,10375407162,1320,1585,1602,323.0
51551,10384098458,1320,1585,1602,68.9
52206,10388141563,1320,1585,1602,77.0
55584,10412052968,1320,1585,1602,22.0
55924,10415361717,1320,1585,1602,420.0
58005,10435353743,1320,1585,1602,48.0
59529,10450657859,1320,1585,1602,55.0
63572,10494177009,1320,1585,1602,62.7375
66343,10513618074,1320,1585,1602,179.0
66734,10515809216,1320,1585,1602,420.0
67200,10518253858,1320,1585,1602,25.8
67415,10519751973,1320,1585,1602,56.8
68386,1052719418,1320,1585,1602,66.0
69556,10534741603,1320,1585,1602,10.0
72120,10555311449,1320,1585,1602,29.9
72605,1055880988,1320,1585,1602,88.0
82127,1064683176,1320,1585,1602,192.0
82732,10653201314,1320,1585,1602,30.8
82888,10654253035,1320,1585,1602,11.0
88358,10714976445,1320,1585,1602,98.0
91272,1074226314,1320,1585,1602,5.0
91518,1074529,1320,1585,1602,18.0
99845,10826677779,1320,1585,1602,40.59
104353,1086881800,1320,1585,1602,27.9
106469,10889278041,1320,1585,1602,48.0
122861,11007184460,1320,1585,1602,88.8
124587,11020541925,1320,1585,1602,99.0
135574,11077580225,1320,1585,1602,3390.0
138084,11094244124,1320,1585,1602,58.0
145202,11133299577,1320,1585,1602,180.0
167530,11220083308,1320,1585,1602,90.0
185279,11316168649,1320,1585,1602,150.0
191638,1136372461,1320,1585,1602,40.0
193873,1137878991,1320,1585,1602,22.9
199075,1141662434,1320,1585,1602,172.0
201669,1143342538,1320,1585,1602,999999.0
201711,1143368497,1320,1585,1602,999999.0
203643,11451614591,1320,1585,1602,168.0
206087,1147388190,1320,1585,1602,93.0
208343,11491137122,1320,1585,1602,49.0
214366,1153738512,1320,1585,1602,69.0
224239,1160326225,1320,1585,1602,67.2
255079,1179315797,1320,1585,1602,167.25
260096,1181778461,1320,1585,1602,102.0
261640,1197957427,1320,1585,1602,45.5
262463,1218884958,1320,1585,1602,100.0
262999,1230031,1320,1585,1602,129.9
264966,1271242951,1320,1585,1602,55.0
265364,1278433868,1320,1585,1602,4.4
265368,1278471617,1320,1585,1602,3.7
265373,1278484787,1320,1585,1602,3.0
265897,1291836303,1320,1585,1602,139.0
266053,1295124439,1320,1585,1602,20.0
267084,1315474942,1320,1585,1602,37.4
268025,1335821384,1320,1585,1602,35.9
268922,1352839366,1320,1585,1602,65.0
270870,1391896418,1320,1585,1602,39.0
273157,1433063453,1320,1585,1602,6.32
273172,1433467310,1320,1585,1602,4.4
